drug_name,indication_name
tacrolimus,renal failure
minocycline,tonsillitis
minocycline,granuloma inguinale
k779,hepatic failure
estradiol,premature menopause
paroxetine,depression
tacrolimus,immunology test
diclofenac,wound
clarithromycin,helicobacter infection
lisdexamfetamine,agitation
valproate,delusion of grandeur
cefditoren,renal impairment
zoledronic,injury
valproate,amino acid metabolism disorder
valproate,flight of ideas
fentanyl,toothache
gabapentin,renal impairment
rofecoxib,pain
clarithromycin,pharyngitis streptococcal
ibuprofen,systemic lupus erythematosus
ibuprofen,musculoskeletal discomfort
vardenafil,erectile dysfunction
atropine,dysentery
cetirizine,arthropod bite
ciprofloxacin,hepatic failure
carbamazepine,bipolar i disorder
oxycodone,miosis
alprazolam,substance abuse
methylprednisolone,psoriatic arthropathy
clonazepam,hypoaesthesia
gadolinium,liver disorder
retinoic,cutis laxa
cyclophosphamide,burkitt's lymphoma
hydroxocobalamin,folate deficiency
rifabutin,tuberculosis
5-fu,dihydropyrimidine dehydrogenase deficiency
trazodone,depression
pentamidine,pneumocystis jirovecii pneumonia
medroxyprogesterone,nulliparous
erlotinib,neoplasm malignant
acetaminophen,sinus headache
pilocarpine,open angle glaucoma
pemetrexed,breast cancer
clozapine,schizophrenia
kaluril,hypertension
citalopram,major depression
topiramate,renal failure
gabapentin,dizziness
prednisone,purpura
bosutinib,chromosome analysis abnormal
medroxyprogesterone,hot flush
methotrexate,mycosis fungoides
deferoxamine,sideroblastic anaemia
docetaxel,mesothelioma
topiramate,hypersensitivity
topiramate,drop attacks
ciprofloxacin,bronchitis chronic
amphotericin,vomiting
clindamycin,paronychia
fluvoxamine,renal impairment
carvedilol,asthma
betaine,hypermethioninaemia
ketoconazole,infection
diclofenac,renal failure
fondaparinux,acute myocardial infarction
ciprofloxacin,liver disorder
lomefloxacin,urinary tract infection
citalopram,cerebral haemorrhage
estradiol,myocardial infarction
voriconazole,systemic candida
clindamycin,vaginal discharge
zuclopenthixol,agitation
hydroxocobalamin,tachypnoea
topiramate,bipolar i disorder
pamidronate,hydraemia
atorvastatin,liver disorder
tacrolimus,type 1 diabetes mellitus
sertraline,headache
triamcinolone,multiple sclerosis
lansoprazole,ulcer
rosuvastatin,coronary artery disease
k779,antibody test positive
terazosin,calculus bladder
paroxetine,tremor
fluoxetine,drug abuse
clobetasol,excoriation
estrone,hypogonadism
azithromycin,drug interaction
goserelin,prostate cancer
nicotine,eczema
buspirone,hyperhidrosis
progesterone,liver disorder
iodixanol,neurogenic bladder
sertraline,hyperhidrosis
granisetron,nausea
prazosin,angina pectoris
liraglutide,renal failure
perindopril,cardiac arrest
ciprofloxacin,salpingo-oophoritis
budesonide,croup infectious
mirtazapine,dizziness
triamcinolone,aplasia pure red cell
misoprostol,mucosal haemorrhage
risperidone,parkinsonism
riluzole,lower motor neurone lesion
risperidone,dementia with lewy bodies
